threshold,affordance_id,model,positive_rate,precision,recall,f1
2.5,L059,Mean,0.6547619047619048,0.6547619047619048,1.0,0.7913669064748201
2.5,L059,LinearRegression,0.6547619047619048,0.8518518518518519,0.8363636363636363,0.8440366972477065
2.5,L059,LightGBM,0.6547619047619048,0.7966101694915254,0.8545454545454545,0.8245614035087719
2.5,L059,Indicator-LGBM,0.6547619047619048,0.847457627118644,0.9090909090909091,0.8771929824561403
2.5,L079,Mean,0.23809523809523808,0.0,0.0,0.0
2.5,L079,LinearRegression,0.23809523809523808,0.6875,0.55,0.6111111111111112
2.5,L079,LightGBM,0.23809523809523808,1.0,0.65,0.7878787878787878
2.5,L079,Indicator-LGBM,0.23809523809523808,0.8636363636363636,0.95,0.9047619047619048
2.5,L091,Mean,0.8690476190476191,0.8690476190476191,1.0,0.9299363057324841
2.5,L091,LinearRegression,0.8690476190476191,0.8552631578947368,0.8904109589041096,0.87248322147651
2.5,L091,LightGBM,0.8690476190476191,0.8674698795180723,0.9863013698630136,0.9230769230769231
2.5,L091,Indicator-LGBM,0.8690476190476191,0.9012345679012346,1.0,0.948051948051948
2.5,L130,Mean,0.9404761904761905,0.9404761904761905,1.0,0.9693251533742331
2.5,L130,LinearRegression,0.9404761904761905,0.95,0.9620253164556962,0.9559748427672956
2.5,L130,LightGBM,0.9404761904761905,0.9493670886075949,0.9493670886075949,0.9493670886075949
2.5,L130,Indicator-LGBM,0.9404761904761905,0.9493670886075949,0.9493670886075949,0.9493670886075949
2.5,L141,Mean,0.75,0.75,1.0,0.8571428571428571
2.5,L141,LinearRegression,0.75,0.828125,0.8412698412698413,0.8346456692913385
2.5,L141,LightGBM,0.75,0.8208955223880597,0.873015873015873,0.8461538461538461
2.5,L141,Indicator-LGBM,0.75,0.8333333333333334,0.873015873015873,0.8527131782945736
3.0,L059,Mean,0.6547619047619048,0.6547619047619048,1.0,0.7913669064748201
3.0,L059,LinearRegression,0.6547619047619048,0.9230769230769231,0.6545454545454545,0.7659574468085106
3.0,L059,LightGBM,0.6547619047619048,0.8717948717948718,0.6181818181818182,0.723404255319149
3.0,L059,Indicator-LGBM,0.6547619047619048,0.9333333333333333,0.7636363636363637,0.84
3.0,L079,Mean,0.23809523809523808,0.0,0.0,0.0
3.0,L079,LinearRegression,0.23809523809523808,1.0,0.45,0.6206896551724138
3.0,L079,LightGBM,0.23809523809523808,1.0,0.65,0.7878787878787878
3.0,L079,Indicator-LGBM,0.23809523809523808,0.9444444444444444,0.85,0.8947368421052632
3.0,L091,Mean,0.8690476190476191,0.8690476190476191,1.0,0.9299363057324841
3.0,L091,LinearRegression,0.8690476190476191,0.8611111111111112,0.8493150684931506,0.8551724137931035
3.0,L091,LightGBM,0.8690476190476191,0.8607594936708861,0.9315068493150684,0.8947368421052632
3.0,L091,Indicator-LGBM,0.8690476190476191,0.9230769230769231,0.9863013698630136,0.9536423841059603
3.0,L130,Mean,0.9404761904761905,0.9404761904761905,1.0,0.9693251533742331
3.0,L130,LinearRegression,0.9404761904761905,0.9487179487179487,0.9367088607594937,0.9426751592356688
3.0,L130,LightGBM,0.9404761904761905,0.948051948051948,0.9240506329113924,0.9358974358974359
3.0,L130,Indicator-LGBM,0.9404761904761905,0.961038961038961,0.9367088607594937,0.9487179487179487
3.0,L141,Mean,0.75,0.75,1.0,0.8571428571428571
3.0,L141,LinearRegression,0.75,0.8301886792452831,0.6984126984126984,0.7586206896551724
3.0,L141,LightGBM,0.75,0.8275862068965517,0.7619047619047619,0.7933884297520661
3.0,L141,Indicator-LGBM,0.75,0.8653846153846154,0.7142857142857143,0.782608695652174
3.5,L059,Mean,0.34523809523809523,0.0,0.0,0.0
3.5,L059,LinearRegression,0.34523809523809523,0.625,0.6896551724137931,0.6557377049180327
3.5,L059,LightGBM,0.34523809523809523,0.75,0.6206896551724138,0.6792452830188679
3.5,L059,Indicator-LGBM,0.34523809523809523,0.75,0.6206896551724138,0.6792452830188679
3.5,L079,Mean,0.15476190476190477,0.0,0.0,0.0
3.5,L079,LinearRegression,0.15476190476190477,0.875,0.5384615384615384,0.6666666666666666
3.5,L079,LightGBM,0.15476190476190477,0.8181818181818182,0.6923076923076923,0.75
3.5,L079,Indicator-LGBM,0.15476190476190477,0.6875,0.8461538461538461,0.7586206896551724
3.5,L091,Mean,0.7380952380952381,0.7380952380952381,1.0,0.8493150684931506
3.5,L091,LinearRegression,0.7380952380952381,0.7068965517241379,0.6612903225806451,0.6833333333333333
3.5,L091,LightGBM,0.7380952380952381,0.7246376811594203,0.8064516129032258,0.7633587786259542
3.5,L091,Indicator-LGBM,0.7380952380952381,0.8888888888888888,0.9032258064516129,0.896
3.5,L130,Mean,0.8095238095238095,0.8095238095238095,1.0,0.8947368421052632
